timestamp,seed,gen_time,stage_time,copy_time
2025-05-09 22:23:46,4532,396,36,82
2025-05-09 22:23:47,4532,403,34,82
2025-05-09 22:23:48,4532,406,35,82
2025-05-09 22:23:49,4532,389,34,82
2025-05-09 22:23:50,4532,384,33,82
2025-05-09 22:23:51,4532,428,34,82
2025-05-09 22:23:52,4532,396,34,82
2025-05-09 22:23:53,4532,410,39,82
2025-05-09 22:23:54,4532,422,39,82
2025-05-09 22:23:55,4532,451,39,82
2025-05-09 22:23:56,4532,438,34,82
2025-05-09 22:23:57,4532,391,34,82
2025-05-09 22:23:58,4532,409,34,82
2025-05-09 22:23:59,4532,400,33,82
2025-05-09 22:24:00,4532,383,38,82
2025-05-09 22:24:01,4532,413,35,82
2025-05-09 22:24:02,4532,396,34,82
2025-05-09 22:24:03,4532,395,34,82
2025-05-09 22:24:04,4532,420,37,82
2025-05-09 22:24:05,4532,427,40,82
2025-05-09 22:24:06,4532,446,44,82
2025-05-09 22:24:07,4532,424,34,82
2025-05-09 22:24:08,4532,386,35,82
2025-05-09 22:24:09,4532,388,36,82
2025-05-09 22:24:10,4532,398,39,82
2025-05-09 22:24:11,4532,409,38,82
2025-05-09 22:24:12,4532,392,36,82
2025-05-09 22:24:13,4532,385,34,82
2025-05-09 22:24:14,4532,394,34,82
2025-05-09 22:24:15,4532,427,37,82
2025-05-09 22:24:16,4532,436,42,82
2025-05-09 22:24:17,4532,441,42,82
2025-05-09 22:24:18,4532,421,35,82
2025-05-09 22:24:19,4532,405,37,82
2025-05-09 22:24:20,4532,398,34,82
2025-05-09 22:24:21,4532,400,35,82
2025-05-09 22:24:22,4532,399,34,82
2025-05-09 22:24:23,4532,399,34,82
2025-05-09 22:24:24,4532,384,34,82
2025-05-09 22:24:25,4532,386,34,82
2025-05-09 22:24:26,4532,435,39,82
2025-05-09 22:24:27,4532,439,38,82
2025-05-09 22:24:28,4532,435,40,82
2025-05-09 22:24:29,4532,406,35,82
2025-05-09 22:24:30,4532,390,38,82
2025-05-09 22:24:31,4532,413,34,82
2025-05-09 22:24:32,4532,421,35,82
2025-05-09 22:24:33,4532,396,44,82
2025-05-09 22:24:34,4532,395,36,82
2025-05-09 22:24:35,4532,393,37,82
2025-05-09 22:24:36,4532,395,34,82
2025-05-09 22:24:37,4532,428,37,82
2025-05-09 22:24:38,4532,433,39,82
2025-05-09 22:24:39,4532,453,41,82
2025-05-09 22:24:40,4532,402,37,82
2025-05-09 22:24:41,4532,398,34,82
2025-05-09 22:24:42,4532,393,34,82
2025-05-09 22:24:43,4532,397,33,82
2025-05-09 22:24:44,4532,385,34,82
2025-05-09 22:24:45,4532,389,36,82
2025-05-09 22:24:46,4532,396,34,82
2025-05-09 22:24:47,4532,395,33,82
2025-05-09 22:24:48,4532,424,38,82
2025-05-09 22:24:49,4532,436,39,82
2025-05-09 22:24:50,4532,450,41,82
2025-05-09 22:24:51,4532,409,34,82
2025-05-09 22:24:52,4532,383,34,82
2025-05-09 22:24:53,4532,387,34,82
2025-05-09 22:24:54,4532,385,34,82
2025-05-09 22:24:55,4532,399,37,82
2025-05-09 22:24:56,4532,388,34,82
2025-05-09 22:24:57,4532,387,37,82
2025-05-09 22:24:58,4532,395,34,82
2025-05-09 22:24:59,4532,431,38,82
2025-05-09 22:25:00,4532,445,39,82
2025-05-09 22:25:01,4532,436,41,82
2025-05-09 22:25:02,4532,391,35,82
2025-05-09 22:25:03,4532,393,37,82
2025-05-09 22:25:04,4532,390,34,82
2025-05-09 22:25:05,4532,397,36,82
2025-05-09 22:25:06,4532,388,34,82
2025-05-09 22:25:07,4532,392,33,82
2025-05-09 22:25:08,4532,387,34,82
2025-05-09 22:25:09,4532,384,35,82
2025-05-09 22:25:10,4532,428,39,82
2025-05-09 22:25:11,4532,450,40,82
2025-05-09 22:25:12,4532,445,41,82
2025-05-09 22:25:13,4532,392,34,82
2025-05-09 22:25:14,4532,388,35,82
2025-05-09 22:25:15,4532,392,33,82
2025-05-09 22:25:16,4532,385,34,82
2025-05-09 22:25:17,4532,392,35,82
2025-05-09 22:25:18,4532,399,34,82
2025-05-09 22:25:19,4532,400,35,82
2025-05-09 22:25:20,4532,394,35,82
2025-05-09 22:25:21,4532,435,39,82
