frame_number,frame_time_ms,total_steps,rays_hit,rays_missed,min_steps,max_steps
508,3.2042,128044356,1196923,2489477,6,450
509,3.7746,119985608,1398219,2288181,5,531
510,4.2358,113754868,1590020,2096380,5,653
511,4.1737,106913071,1773226,1913174,5,868
512,7.6898,99542061,1958130,1728270,4,677
513,5.3426,91891981,2147719,1538681,4,657
514,4.6859,85130377,2343837,1342563,2,699
515,5.0012,79886339,2541861,1144539,3,764
516,6.5814,71592531,2776377,910023,2,879
517,4.5325,63271720,3032025,654375,3,909
518,7.7250,53216380,3317418,368982,3,927
519,4.4467,42781874,3638561,47839,3,923
520,2.3233,34094157,3675151,11249,2,701
521,2.4291,33434636,3663025,23375,3,711
522,2.3086,29559665,3668783,17617,2,704
523,2.0975,29366972,3666730,19670,3,698
524,2.1348,30079946,3658715,27685,2,702
525,1.8168,27272390,3665833,20567,3,638
526,1.8099,30069048,3646707,39693,3,561
527,1.7748,27732357,3661075,25325,2,576
528,2.0155,28809286,3659595,26805,3,617
529,2.0930,30125006,3660345,26055,2,686
530,2.0253,30700408,3664271,22129,3,701
531,2.0525,30616202,3670681,15719,3,667
532,2.2844,29790021,3684526,1874,2,702
533,2.5080,36650982,3677798,8602,3,691
534,9.9215,67834557,3440025,246375,3,2001
535,9.7859,92567972,3139189,547211,3,2001
536,9.7396,115322565,2869622,816778,2,2001
537,10.8544,133102991,2647271,1039129,3,2001
538,9.9837,152210833,2433348,1253052,4,2001
539,12.3131,169178220,2234025,1452375,4,2001
540,10.5592,182186970,2049191,1637209,3,2001
541,11.2390,191451906,1863994,1822406,4,2001
542,10.8202,197598080,1674853,2011547,5,2001
543,8.7169,199090591,1480804,2205596,3,1448
544,4.0093,200774851,1282570,2403830,6,686
545,3.9205,205633452,1066318,2620082,8,660
546,3.9549,213226606,833034,2853366,10,639
547,4.0365,223688848,573152,3113248,13,604
548,3.9819,232126037,277141,3409259,29,586
549,3.5780,232768632,15,3686385,80,563
550,3.5038,228857041,0,3686400,88,550
551,3.2962,224089088,0,3686400,96,555
552,3.3734,219073257,0,3686400,87,551
553,3.2196,216593497,0,3686400,81,549
554,3.3298,216455714,0,3686400,79,548
555,3.2911,219073663,0,3686400,77,559
556,3.2975,223945763,0,3686400,76,568
557,3.0792,207313284,0,3686400,74,550
558,2.9858,191668678,0,3686400,70,531
559,2.6796,176922779,0,3686400,64,504
560,2.5495,162987505,0,3686400,60,471
561,2.3470,149462525,0,3686400,55,408
562,2.0919,137403538,0,3686400,52,364
563,1.9608,126875046,0,3686400,48,319
564,2.8461,122125641,277678,3408722,18,401
565,2.9050,113198914,573660,3112740,10,450
566,2.6003,105176754,830538,2855862,8,399
567,2.7082,99093926,1059938,2626462,8,407
568,2.6565,92627690,1270476,2415924,5,417
569,2.4829,86888984,1478396,2208004,5,393
570,2.3265,80644485,1681139,2005261,6,367
571,2.4964,74485055,1874534,1811866,5,337
572,2.4125,70224033,2057105,1629295,4,332
573,2.5027,67357349,2243434,1442966,6,457
574,2.7158,64527335,2440896,1245504,4,590
575,3.4592,61684563,2652589,1033811,4,751
576,3.6519,57415553,2884140,802260,4,781
577,4.2321,52041026,3145900,540500,4,662
578,3.9828,44932459,3450524,235876,3,726
579,2.4451,34015847,3684531,1869,4,626
580,2.2548,30753623,3684666,1734,4,639
581,1.9824,29411649,3685383,1017,4,634
582,1.9702,28723705,3685880,520,4,648
583,1.8151,28321031,3685937,463,3,684
584,1.8487,27194591,3685956,444,3,714
585,1.6845,25743418,3686111,289,3,680
586,1.5426,24249925,3686037,363,3,546
587,1.6696,23707995,3686071,329,3,623
588,1.6781,24058757,3685593,807,2,656
589,1.7512,24268595,3684755,1645,2,654
590,1.7397,24884652,3684926,1474,2,689
591,1.9739,25844463,3685509,891,2,637
592,2.0036,27336551,3684541,1859,2,665
593,9.3246,42259268,3642680,43720,2,2001
594,11.4148,71959875,3305402,380998,2,2001
595,10.9153,101672459,3021274,665126,2,2001
596,10.5325,128180015,2773919,912481,3,1821
597,11.1833,151340180,2547317,1139083,3,2001
598,12.2489,172274985,2338438,1347962,4,2001
599,11.3765,188885462,2142418,1543982,4,1719
600,12.5299,202680820,1950821,1735579,3,2001
601,10.7070,212454821,1763219,1923181,5,2001
602,13.3832,220349834,1569960,2116440,5,2001
603,11.3791,227237572,1372879,2313521,5,2001
